FID,SPEED_1,COST_1,TLEVEL_1,LENGTH_1,POP,ID,FR,TO,ID_1,DEATH
0,1.000000000000000,1.000000000000000,1.000000000000000,"971,910.598175000050000",646.700000000000050,1,50,54,1.000000000000000,0.000000000000000
1,1.000000000000000,1.000000000000000,1.000000000000000,"717,513.136892999990000",243.800000000000010,2,6,54,2.000000000000000,0.000000000000000
2,1.000000000000000,1.000000000000000,1.000000000000000,"1,337,284.917612999900000",65.120000000000005,3,57,50,3.000000000000000,0.000000000000000
3,1.000000000000000,1.000000000000000,1.000000000000000,"329,070.382023999990000","5,263.549450999999900",4,13,55,4.000000000000000,0.000000000000000
4,1.000000000000000,1.000000000000000,1.000000000000000,"443,546.608323000020000","1,187.000000000000000",5,47,8,5.000000000000000,0.000000000000000
5,1.000000000000000,1.000000000000000,1.000000000000000,"397,896.892620000000000","1,669.726190000000100",6,5,51,6.000000000000000,0.000000000000000
6,1.000000000000000,1.000000000000000,1.000000000000000,"153,397.152107000000000","1,240.793600000000000",7,29,31,7.000000000000000,0.092199000000000
7,1.000000000000000,1.000000000000000,1.000000000000000,"112,721.598452000010000",334.899999999999980,9,29,16,8.000000000000000,0.014184000000000
8,1.000000000000000,1.000000000000000,1.000000000000000,"282,823.650252000020000",334.899999999999980,10,16,5,9.000000000000000,0.000000000000000
9,1.000000000000000,1.000000000000000,1.000000000000000,"334,354.351453999990000","1,131.676189999999900",11,31,5,10.000000000000000,0.000000000000000
10,1.000000000000000,1.000000000000000,1.000000000000000,"910,403.099403999980000",950.223496999999950,12,33,55,20.000000000000000,0.000000000000000
11,1.000000000000000,1.000000000000000,1.000000000000000,"1,180,864.121827000100000","2,395.678155999999900",13,55,25,12.000000000000000,0.000000000000000
12,1.000000000000000,1.000000000000000,1.000000000000000,"528,376.143429000050000","1,917.647795000000100",14,55,38,13.000000000000000,0.007092000000000
13,1.000000000000000,1.000000000000000,1.000000000000000,"519,129.290013000020000",0.000000000000000,15,8,56,14.000000000000000,0.000000000000000
14,1.000000000000000,1.000000000000000,1.000000000000000,"800,451.454711999980000",0.104000000000000,16,9,35,15.000000000000000,0.007092000000000
15,1.000000000000000,1.000000000000000,1.000000000000000,"851,367.892888000000000",230.319333000000000,17,9,42,16.000000000000000,0.007092000000000
16,1.000000000000000,1.000000000000000,1.000000000000000,"130,657.008651000000000",0.289000000000000,18,35,42,17.000000000000000,0.014184000000000
17,1.000000000000000,1.000000000000000,1.000000000000000,"356,581.362366000020000",60.250000000000000,19,19,30,18.000000000000000,0.070922000000000
18,1.000000000000000,1.000000000000000,1.000000000000000,"299,331.876626999990000",60.250000000000000,20,30,42,19.000000000000000,0.092199000000000
19,1.000000000000000,1.000000000000000,1.000000000000000,"789,924.604973000010000",290.858333000000020,21,42,44,20.000000000000000,0.000000000000000
20,1.000000000000000,1.000000000000000,1.000000000000000,"660,790.094429000050000",387.767778000000020,22,44,37,21.000000000000000,0.000000000000000
21,1.000000000000000,1.000000000000000,1.000000000000000,"910,398.164473999990000",190.360000000000010,23,37,55,22.000000000000000,0.000000000000000
22,1.000000000000000,1.000000000000000,1.000000000000000,"1,193,163.022850000100000",890.500000000000000,24,54,4,23.000000000000000,0.000000000000000
23,1.000000000000000,1.000000000000000,1.000000000000000,"459,456.475730000010000",12.196000000000000,25,4,28,24.000000000000000,0.000000000000000
24,1.000000000000000,1.000000000000000,1.000000000000000,"210,665.451173000010000",0.000000000000000,26,56,24,25.000000000000000,0.000000000000000
25,1.000000000000000,1.000000000000000,1.000000000000000,"211,159.369940000000000",0.000000000000000,27,24,55,26.000000000000000,0.000000000000000
26,1.000000000000000,1.000000000000000,1.000000000000000,"466,133.475848999980000",0.000000000000000,28,24,38,27.000000000000000,0.007092000000000
27,1.000000000000000,1.000000000000000,1.000000000000000,"414,666.900983000000000",10.006399999999999,29,28,31,28.000000000000000,0.929078000000000
28,1.000000000000000,1.000000000000000,1.000000000000000,"370,954.695974999980000",203.150000000000010,30,46,5,29.000000000000000,0.000000000000000
29,1.000000000000000,1.000000000000000,1.000000000000000,"97,403.990724999996000",203.150000000000010,31,29,46,30.000000000000000,0.333333000000000
30,1.000000000000000,1.000000000000000,1.000000000000000,"420,415.474036000030000",0.185000000000000,32,52,35,31.000000000000000,1.000000000000000
31,1.000000000000000,1.000000000000000,1.000000000000000,"901,737.269801000020000",698.399999999999980,33,19,6,32.000000000000000,0.000000000000000
32,1.000000000000000,1.000000000000000,1.000000000000000,"690,177.196155000010000",65.120000000000005,34,43,57,33.000000000000000,0.000000000000000
33,1.000000000000000,1.000000000000000,1.000000000000000,"1,212,478.278383000100000",581.575000000000050,35,26,50,34.000000000000000,0.000000000000000
34,1.000000000000000,1.000000000000000,1.000000000000000,"592,984.663108999960000",81.769443999999993,36,15,44,35.000000000000000,0.000000000000000
35,1.000000000000000,1.000000000000000,1.000000000000000,"854,882.035586999960000",14.426209999999999,38,28,47,36.000000000000000,0.021277000000000
36,1.000000000000000,1.000000000000000,1.000000000000000,"430,065.195520000010000",119.123000000000000,40,31,51,37.000000000000000,0.000000000000000
37,1.000000000000000,1.000000000000000,1.000000000000000,"542,317.335440999940000",15.140000000000001,42,14,44,38.000000000000000,0.000000000000000
38,1.000000000000000,1.000000000000000,1.000000000000000,"356,486.901710000010000",15.140000000000001,44,53,14,39.000000000000000,0.000000000000000
39,1.000000000000000,1.000000000000000,1.000000000000000,"500,255.344713000000000",0.000000000000000,37,19,21,0.000000000000000,0.000000000000000
40,1.000000000000000,1.000000000000000,1.000000000000000,"81,947.338239999997000",0.000000000000000,39,51,22,0.000000000000000,0.000000000000000
41,1.000000000000000,1.000000000000000,1.000000000000000,"175,339.072672000010000",0.000000000000000,41,22,47,0.000000000000000,0.000000000000000
42,1.000000000000000,1.000000000000000,1.000000000000000,"224,481.954820999990000",0.000000000000000,43,8,45,0.000000000000000,0.000000000000000
43,1.000000000000000,1.000000000000000,1.000000000000000,"240,013.325699999990000",0.000000000000000,45,45,13,0.000000000000000,0.000000000000000
44,1.000000000000000,1.000000000000000,1.000000000000000,"309,926.729618999990000",0.000000000000000,46,21,36,0.000000000000000,0.000000000000000
45,1.000000000000000,1.000000000000000,1.000000000000000,"863,163.975742000040000",0.000000000000000,47,36,29,0.000000000000000,0.000000000000000
46,1.000000000000000,1.000000000000000,1.000000000000000,"648,771.138186999950000",0.000000000000000,48,21,4,0.000000000000000,0.000000000000000
47,1.000000000000000,1.000000000000000,1.000000000000000,"485,563.537659000020000",0.000000000000000,49,37,34,0.000000000000000,0.000000000000000
48,1.000000000000000,1.000000000000000,1.000000000000000,"580,799.938163000040000",0.000000000000000,50,34,39,0.000000000000000,0.000000000000000
49,1.000000000000000,1.000000000000000,1.000000000000000,"496,270.093710999990000",0.000000000000000,51,5,23,0.000000000000000,0.000000000000000
50,1.000000000000000,1.000000000000000,1.000000000000000,"217,752.711393000010000",0.000000000000000,52,5,40,0.000000000000000,0.000000000000000
51,1.000000000000000,1.000000000000000,1.000000000000000,"243,282.714266000000000",0.000000000000000,53,40,27,0.000000000000000,0.000000000000000
52,1.000000000000000,1.000000000000000,1.000000000000000,"83,999.214076999997000",0.000000000000000,54,27,23,0.000000000000000,0.000000000000000
53,1.000000000000000,1.000000000000000,1.000000000000000,"544,765.381083999990000",0.000000000000000,55,40,10,0.000000000000000,0.000000000000000
54,1.000000000000000,1.000000000000000,1.000000000000000,"140,755.413540999990000",0.000000000000000,56,10,7,0.000000000000000,0.000000000000000
55,1.000000000000000,1.000000000000000,1.000000000000000,"527,271.898785999980000",0.000000000000000,57,7,3,0.000000000000000,0.000000000000000
56,1.000000000000000,1.000000000000000,1.000000000000000,"967,894.775447000050000",0.000000000000000,58,27,3,0.000000000000000,0.000000000000000
57,1.000000000000000,1.000000000000000,1.000000000000000,"447,185.993560999980000",0.000000000000000,59,27,7,0.000000000000000,0.000000000000000
58,1.000000000000000,1.000000000000000,1.000000000000000,"577,511.414470999970000",0.000000000000000,60,40,15,0.000000000000000,0.000000000000000
59,1.000000000000000,1.000000000000000,1.000000000000000,"562,384.947220999980000",0.000000000000000,61,3,37,0.000000000000000,0.000000000000000
60,1.000000000000000,1.000000000000000,1.000000000000000,"762,038.700531000040000",0.000000000000000,62,1,18,0.000000000000000,0.000000000000000
61,1.000000000000000,1.000000000000000,1.000000000000000,"413,137.726788000030000",0.000000000000000,63,18,5,0.000000000000000,0.000000000000000
62,1.000000000000000,1.000000000000000,1.000000000000000,"1,098,343.585386000100000",0.000000000000000,64,18,15,0.000000000000000,0.000000000000000
63,1.000000000000000,1.000000000000000,1.000000000000000,"208,182.687630000000000",0.000000000000000,65,19,2,0.000000000000000,0.000000000000000
64,1.000000000000000,1.000000000000000,1.000000000000000,"673,772.329885000010000",0.000000000000000,66,2,1,0.000000000000000,0.000000000000000
65,1.000000000000000,1.000000000000000,1.000000000000000,"363,668.951724999990000",0.000000000000000,67,23,41,0.000000000000000,0.000000000000000
66,1.000000000000000,1.000000000000000,1.000000000000000,"638,513.489156999970000",0.000000000000000,68,41,56,0.000000000000000,0.000000000000000
67,1.000000000000000,1.000000000000000,1.000000000000000,"1,093,863.895005000100000",0.000000000000000,69,36,18,0.000000000000000,0.000000000000000
68,1.000000000000000,1.000000000000000,1.000000000000000,"493,851.589949999990000",0.000000000000000,70,25,17,0.000000000000000,0.000000000000000
69,1.000000000000000,1.000000000000000,1.000000000000000,"974,467.333972000050000",0.000000000000000,8,17,49,0.000000000000000,0.000000000000000
70,1.000000000000000,1.000000000000000,1.000000000000000,"603,947.942312999980000",0.000000000000000,71,28,12,0.000000000000000,0.000000000000000
71,1.000000000000000,1.000000000000000,1.000000000000000,"925,499.855354000000000",0.000000000000000,72,12,13,0.000000000000000,0.000000000000000
72,1.000000000000000,1.000000000000000,1.000000000000000,"677,912.327490999950000",0.000000000000000,73,28,48,0.000000000000000,0.000000000000000
73,1.000000000000000,1.000000000000000,1.000000000000000,"458,299.555072000020000",0.000000000000000,74,48,8,0.000000000000000,0.000000000000000
74,1.000000000000000,1.000000000000000,1.000000000000000,"297,330.381813000010000",0.000000000000000,75,33,20,0.000000000000000,0.000000000000000
75,1.000000000000000,1.000000000000000,1.000000000000000,"537,661.061228999980000",0.000000000000000,76,39,32,0.000000000000000,0.000000000000000
76,1.000000000000000,1.000000000000000,1.000000000000000,"410,442.848812000010000",0.000000000000000,77,39,11,0.000000000000000,0.000000000000000
77,1.000000000000000,1.000000000000000,1.000000000000000,"440,333.212684999980000",0.000000000000000,78,39,33,0.000000000000000,0.000000000000000
78,1.000000000000000,1.000000000000000,1.000000000000000,"465,686.870134999980000",0.000000000000000,79,38,20,0.000000000000000,0.000000000000000
79,1.000000000000000,1.000000000000000,1.000000000000000,"641,188.209398000040000",0.000000000000000,80,20,25,0.000000000000000,0.000000000000000